,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
64,-1.0,1600.0,PINA_COLADAS,15012.0,30.0,15011.0,60.0,,,15014.0,30.0,15015.0,60.0,,,15013.0,0.0
70,-1.0,1700.0,PINA_COLADAS,15011.0,83.0,,,,,15014.0,83.0,,,,,15012.5,0.0
74,-1.0,1800.0,PINA_COLADAS,15012.0,110.0,,,,,15015.0,110.0,,,,,15013.5,0.0
78,-1.0,1900.0,PINA_COLADAS,15010.0,72.0,,,,,15013.0,72.0,,,,,15011.5,0.0
80,-1.0,2000.0,PINA_COLADAS,15014.0,28.0,15013.0,82.0,,,15016.0,82.0,,,,,15015.0,0.0
86,-1.0,2100.0,PINA_COLADAS,15014.0,82.0,,,,,15017.0,82.0,,,,,15015.5,0.0
90,-1.0,2200.0,PINA_COLADAS,15010.0,86.0,,,,,15013.0,20.0,15014.0,66.0,,,15011.5,0.0
95,-1.0,2300.0,PINA_COLADAS,15010.0,93.0,,,,,15013.0,24.0,15014.0,69.0,,,15011.5,0.0
96,-1.0,2400.0,PINA_COLADAS,15009.0,87.0,,,,,15012.0,87.0,,,,,15010.5,0.0
101,-1.0,2500.0,PINA_COLADAS,15011.0,38.0,15010.0,93.0,,,15013.0,93.0,,,,,15012.0,0.0
106,-1.0,2600.0,PINA_COLADAS,15009.0,27.0,15008.0,74.0,,,15011.0,27.0,15012.0,74.0,,,15010.0,0.0
109,-1.0,2700.0,PINA_COLADAS,15012.0,75.0,,,,,15015.0,75.0,,,,,15013.5,0.0
112,-1.0,2800.0,PINA_COLADAS,15007.0,92.0,,,,,15010.0,92.0,,,,,15008.5,0.0
117,-1.0,2900.0,PINA_COLADAS,15007.0,89.0,,,,,15010.0,89.0,,,,,15008.5,0.0
122,-1.0,3000.0,PINA_COLADAS,15004.0,22.0,15003.0,69.0,,,15007.0,91.0,,,,,15005.5,0.0
125,-1.0,3100.0,PINA_COLADAS,15005.0,95.0,,,,,15008.0,20.0,15009.0,75.0,,,15006.5,0.0
128,-1.0,3200.0,PINA_COLADAS,15006.0,36.0,15005.0,66.0,,,15008.0,36.0,15009.0,66.0,,,15007.0,0.0
133,-1.0,3300.0,PINA_COLADAS,15004.0,98.0,,,,,15007.0,98.0,,,,,15005.5,0.0
139,-1.0,3400.0,PINA_COLADAS,15002.0,84.0,,,,,15005.0,21.0,15006.0,63.0,,,15003.5,0.0
143,-1.0,3500.0,PINA_COLADAS,15004.0,35.0,15003.0,57.0,,,15006.0,35.0,15007.0,57.0,,,15005.0,0.0
145,-1.0,3600.0,PINA_COLADAS,15003.0,97.0,,,,,15006.0,97.0,,,,,15004.5,0.0
151,-1.0,3700.0,PINA_COLADAS,15004.0,71.0,,,,,15007.0,71.0,,,,,15005.5,0.0
155,-1.0,3800.0,PINA_COLADAS,15005.0,71.0,,,,,15008.0,71.0,,,,,15006.5,0.0
159,-1.0,3900.0,PINA_COLADAS,15007.0,29.0,15006.0,51.0,,,15010.0,80.0,,,,,15008.5,0.0
161,-1.0,4000.0,PINA_COLADAS,15009.0,30.0,15008.0,94.0,,,15011.0,94.0,,,,,15010.0,0.0
167,-1.0,4100.0,PINA_COLADAS,15009.0,81.0,,,,,15012.0,81.0,,,,,15010.5,0.0
171,-1.0,4200.0,PINA_COLADAS,15008.0,102.0,,,,,15009.0,25.0,15011.0,102.0,,,15008.5,0.0
175,-1.0,4300.0,PINA_COLADAS,15007.0,102.0,,,,,15010.0,102.0,,,,,15008.5,0.0
177,-1.0,4400.0,PINA_COLADAS,15009.0,112.0,,,,,15012.0,38.0,15013.0,74.0,,,15010.5,0.0
183,-1.0,4500.0,PINA_COLADAS,15009.0,85.0,,,,,15012.0,30.0,15013.0,55.0,,,15010.5,0.0
185,-1.0,4600.0,PINA_COLADAS,15007.0,74.0,15006.0,58.0,,,15009.0,36.0,15010.0,58.0,,,15008.0,0.0
188,-1.0,4700.0,PINA_COLADAS,15006.0,37.0,15005.0,73.0,,,15008.0,37.0,15009.0,73.0,,,15007.0,0.0
193,-1.0,4800.0,PINA_COLADAS,15006.0,79.0,,,,,15009.0,79.0,,,,,15007.5,0.0
199,-1.0,4900.0,PINA_COLADAS,15005.0,75.0,,,,,15008.0,25.0,15009.0,50.0,,,15006.5,0.0
200,-1.0,5000.0,PINA_COLADAS,15003.0,81.0,,,,,15006.0,21.0,15007.0,60.0,,,15004.5,0.0
204,-1.0,5100.0,PINA_COLADAS,15003.0,79.0,,,,,15006.0,79.0,,,,,15004.5,0.0
209,-1.0,5200.0,PINA_COLADAS,15004.0,87.0,,,,,15007.0,87.0,,,,,15005.5,0.0
214,-1.0,5300.0,PINA_COLADAS,15003.0,20.0,15002.0,75.0,,,15005.0,20.0,15006.0,75.0,,,15004.0,0.0
216,-1.0,5400.0,PINA_COLADAS,15002.0,29.0,15001.0,74.0,,,15004.0,29.0,15005.0,74.0,,,15003.0,0.0
220,-1.0,5500.0,PINA_COLADAS,14999.0,112.0,,,,,15002.0,112.0,,,,,15000.5,0.0
226,-1.0,5600.0,PINA_COLADAS,14999.0,85.0,,,,,15000.0,27.0,15002.0,21.0,15003.0,64.0,14999.5,0.0
230,-1.0,5700.0,PINA_COLADAS,14998.0,90.0,,,,,15001.0,90.0,,,,,14999.5,0.0
232,-1.0,5800.0,PINA_COLADAS,14996.0,104.0,,,,,14999.0,104.0,,,,,14997.5,0.0
236,-1.0,5900.0,PINA_COLADAS,14993.0,89.0,,,,,14996.0,89.0,,,,,14994.5,0.0
242,-1.0,6000.0,PINA_COLADAS,14992.0,84.0,,,,,14995.0,84.0,,,,,14993.5,0.0
246,-1.0,6100.0,PINA_COLADAS,14995.0,36.0,14994.0,57.0,,,14998.0,93.0,,,,,14996.5,0.0
248,-1.0,6200.0,PINA_COLADAS,14995.0,93.0,,,,,14998.0,32.0,14999.0,61.0,,,14996.5,0.0
252,-1.0,6300.0,PINA_COLADAS,14999.0,35.0,14998.0,73.0,,,15002.0,108.0,,,,,15000.5,0.0
258,-1.0,6400.0,PINA_COLADAS,15004.0,100.0,,,,,15007.0,100.0,,,,,15005.5,0.0
262,-1.0,6500.0,PINA_COLADAS,15006.0,39.0,15005.0,54.0,,,15008.0,39.0,15009.0,54.0,,,15007.0,0.0
264,-1.0,6600.0,PINA_COLADAS,15007.0,93.0,,,,,15010.0,93.0,,,,,15008.5,0.0
268,-1.0,6700.0,PINA_COLADAS,15008.0,92.0,,,,,15011.0,92.0,,,,,15009.5,0.0
274,-1.0,6800.0,PINA_COLADAS,15013.0,99.0,,,,,15016.0,99.0,,,,,15014.5,0.0
277,-1.0,6900.0,PINA_COLADAS,15012.0,92.0,,,,,15015.0,92.0,,,,,15013.5,0.0
280,-1.0,7000.0,PINA_COLADAS,15010.0,95.0,,,,,15013.0,95.0,,,,,15011.5,0.0
284,-1.0,7100.0,PINA_COLADAS,15012.0,38.0,15011.0,55.0,,,15014.0,38.0,15015.0,55.0,,,15013.0,0.0
289,-1.0,7200.0,PINA_COLADAS,15012.0,91.0,,,,,15015.0,91.0,,,,,15013.5,0.0
293,-1.0,7300.0,PINA_COLADAS,15015.0,40.0,15014.0,56.0,,,15017.0,40.0,15018.0,56.0,,,15016.0,-3.66015625
296,-1.0,7400.0,PINA_COLADAS,15012.0,88.0,,,,,15015.0,31.0,15016.0,57.0,,,15013.5,4.40625
300,-1.0,7500.0,PINA_COLADAS,15014.0,100.0,,,,,15017.0,100.0,,,,,15015.5,-3.16796875
305,-1.0,7600.0,PINA_COLADAS,15016.0,113.0,,,,,15019.0,113.0,,,,,15017.5,-10.5078125
309,-1.0,7700.0,PINA_COLADAS,15016.0,87.0,,,,,15019.0,87.0,,,,,15017.5,-9.9765625
312,-1.0,7800.0,PINA_COLADAS,15014.0,30.0,15013.0,59.0,,,15016.0,30.0,15017.0,59.0,,,15015.0,0.34375
317,-1.0,7900.0,PINA_COLADAS,15011.0,109.0,,,,,15014.0,109.0,,,,,15012.5,10.33203125
323,-1.0,8000.0,PINA_COLADAS,15013.0,105.0,,,,,15016.0,38.0,15017.0,67.0,,,15014.5,0.75
325,-1.0,8100.0,PINA_COLADAS,15011.0,24.0,15010.0,72.0,,,15013.0,30.0,15014.0,72.0,,,15012.0,6.09375
329,-1.0,8200.0,PINA_COLADAS,15010.0,87.0,,,,,15013.0,87.0,,,,,15011.5,11.34375
333,-1.0,8300.0,PINA_COLADAS,15011.0,97.0,,,,,15014.0,97.0,,,,,15012.5,1.953125
339,-1.0,8400.0,PINA_COLADAS,15014.0,30.0,15013.0,75.0,,,15016.0,30.0,15017.0,75.0,,,15015.0,-23.53125
341,-1.0,8500.0,PINA_COLADAS,15013.0,36.0,15012.0,65.0,,,15015.0,36.0,15016.0,65.0,,,15014.0,-13.515625
345,-1.0,8600.0,PINA_COLADAS,15012.0,93.0,,,,,15015.0,32.0,15016.0,61.0,,,15013.5,-12.5625
349,-1.0,8700.0,PINA_COLADAS,15012.0,100.0,,,,,15015.0,100.0,,,,,15013.5,-9.3125
355,-1.0,8800.0,PINA_COLADAS,15014.0,83.0,,,,,15017.0,83.0,,,,,15015.5,-28.84375
357,-1.0,8900.0,PINA_COLADAS,15015.0,112.0,,,,,15018.0,112.0,,,,,15016.5,-39.5
360,-1.0,9000.0,PINA_COLADAS,15011.0,93.0,,,,,15014.0,93.0,,,,,15012.5,1.625
366,-1.0,9100.0,PINA_COLADAS,15012.0,89.0,,,,,15015.0,89.0,,,,,15013.5,-9.5625
370,-1.0,9200.0,PINA_COLADAS,15015.0,84.0,,,,,15018.0,84.0,,,,,15016.5,-36.28125
373,-1.0,9300.0,PINA_COLADAS,15019.0,40.0,15018.0,68.0,,,15022.0,108.0,,,,,15020.5,-75.609375
376,-1.0,9400.0,PINA_COLADAS,15017.0,76.0,,,,,15020.0,76.0,,,,,15018.5,-56.65625
381,-1.0,9500.0,PINA_COLADAS,15019.0,100.0,,,,,15022.0,100.0,,,,,15020.5,-77.796875
386,-1.0,9600.0,PINA_COLADAS,15021.0,25.0,15020.0,57.0,,,15023.0,25.0,15024.0,57.0,,,15022.0,-93.5625
389,-1.0,9700.0,PINA_COLADAS,15019.0,27.0,15018.0,62.0,,,15022.0,89.0,,,,,15020.5,-75.03125
392,-1.0,9800.0,PINA_COLADAS,15020.0,30.0,15019.0,66.0,,,15022.0,30.0,15023.0,66.0,,,15021.0,-84.65625
398,-1.0,9900.0,PINA_COLADAS,15020.0,86.0,,,,,15023.0,23.0,15024.0,63.0,,,15021.5,-92.296875
402,-1.0,10000.0,PINA_COLADAS,15021.0,91.0,,,,,15024.0,91.0,,,,,15022.5,-100.859375
407,-1.0,10100.0,PINA_COLADAS,15023.0,97.0,,,,,15026.0,97.0,,,,,15024.5,-118.15625
408,-1.0,10200.0,PINA_COLADAS,15027.0,98.0,,,,,15030.0,98.0,,,,,15028.5,-160.03125
414,-1.0,10300.0,PINA_COLADAS,15027.0,95.0,,,,,15030.0,34.0,15031.0,61.0,,,15028.5,-162.59375
418,-1.0,10400.0,PINA_COLADAS,15027.0,34.0,15026.0,54.0,,,15030.0,88.0,,,,,15028.5,-160.5
422,-1.0,10500.0,PINA_COLADAS,15029.0,39.0,15028.0,66.0,,,15031.0,39.0,15032.0,66.0,,,15030.0,-186.4375
424,-1.0,10600.0,PINA_COLADAS,15030.0,31.0,15029.0,68.0,,,15032.0,31.0,15033.0,68.0,,,15031.0,-198.8125
430,-1.0,10700.0,PINA_COLADAS,15031.0,31.0,15030.0,62.0,,,15033.0,31.0,15034.0,62.0,,,15032.0,-214.875
434,-1.0,10800.0,PINA_COLADAS,15030.0,33.0,15029.0,59.0,,,15032.0,33.0,15033.0,59.0,,,15031.0,-199.203125
438,-1.0,10900.0,PINA_COLADAS,15031.0,98.0,,,,,15034.0,98.0,,,,,15032.5,-217.65625
440,-1.0,11000.0,PINA_COLADAS,15030.0,94.0,,,,,15033.0,94.0,,,,,15031.5,-209.109375
446,-1.0,11100.0,PINA_COLADAS,15030.0,90.0,,,,,15033.0,90.0,,,,,15031.5,-208.453125
450,-1.0,11200.0,PINA_COLADAS,15027.0,84.0,,,,,15030.0,20.0,15031.0,64.0,,,15028.5,-170.09375
454,-1.0,11300.0,PINA_COLADAS,15028.0,39.0,15027.0,73.0,,,15030.0,39.0,15031.0,73.0,,,15029.0,-171.15625
456,-1.0,11400.0,PINA_COLADAS,15030.0,94.0,,,,,15033.0,94.0,,,,,15031.5,-207.265625
461,-1.0,11500.0,PINA_COLADAS,15028.0,26.0,15027.0,64.0,,,15030.0,26.0,15031.0,64.0,,,15029.0,-172.5
466,-1.0,11600.0,PINA_COLADAS,15025.0,99.0,,,,,15028.0,39.0,15029.0,60.0,,,15026.5,-141.25
469,-1.0,11700.0,PINA_COLADAS,15026.0,33.0,15025.0,55.0,,,15027.0,23.0,15028.0,33.0,15029.0,55.0,15026.5,-144.03125
472,-1.0,11800.0,PINA_COLADAS,15022.0,93.0,,,,,15023.0,25.0,15025.0,21.0,15026.0,72.0,15022.5,-99.21875
477,-1.0,11900.0,PINA_COLADAS,15024.0,36.0,15023.0,66.0,,,15027.0,102.0,,,,,15025.5,-118.03125
482,-1.0,12000.0,PINA_COLADAS,15026.0,37.0,15025.0,62.0,,,15028.0,37.0,15029.0,62.0,,,15027.0,-144.0625
485,-1.0,12100.0,PINA_COLADAS,15025.0,98.0,,,,,15028.0,98.0,,,,,15026.5,-133.328125
488,-1.0,12200.0,PINA_COLADAS,15027.0,39.0,15026.0,58.0,,,15029.0,39.0,15030.0,58.0,,,15028.0,-159.3125
495,-1.0,12300.0,PINA_COLADAS,15026.0,111.0,,,,,15029.0,111.0,,,,,15027.5,-150.109375
499,-1.0,12400.0,PINA_COLADAS,15028.0,35.0,15027.0,64.0,,,15030.0,35.0,15031.0,64.0,,,15029.0,-171.21875
503,-1.0,12500.0,PINA_COLADAS,15024.0,40.0,15023.0,63.0,,,15027.0,103.0,,,,,15025.5,-118.515625
505,-1.0,12600.0,PINA_COLADAS,15024.0,101.0,,,,,15027.0,101.0,,,,,15025.5,-120.6875
511,-1.0,12700.0,PINA_COLADAS,15027.0,34.0,15026.0,68.0,,,15030.0,102.0,,,,,15028.5,-160.484375
515,-1.0,12800.0,PINA_COLADAS,15025.0,84.0,,,,,15028.0,27.0,15029.0,57.0,,,15026.5,-141.53125
519,-1.0,12900.0,PINA_COLADAS,15025.0,30.0,15024.0,69.0,,,15028.0,99.0,,,,,15026.5,-131.390625
521,-1.0,13000.0,PINA_COLADAS,15026.0,23.0,15025.0,54.0,,,15028.0,23.0,15029.0,54.0,,,15027.0,-143.84375
527,-1.0,13100.0,PINA_COLADAS,15025.0,93.0,,,,,15028.0,93.0,,,,,15026.5,-134.984375
531,-1.0,13200.0,PINA_COLADAS,15028.0,25.0,15027.0,57.0,,,15030.0,25.0,15031.0,57.0,,,15029.0,-173.21875
535,-1.0,13300.0,PINA_COLADAS,15027.0,100.0,,,,,15028.0,29.0,15030.0,100.0,,,15027.5,-161.390625
538,-1.0,13400.0,PINA_COLADAS,15028.0,94.0,,,,,15031.0,94.0,,,,,15029.5,-182.78125
543,-1.0,13500.0,PINA_COLADAS,15027.0,101.0,,,,,15030.0,101.0,,,,,15028.5,-167.0625
544,-1.0,13600.0,PINA_COLADAS,15029.0,96.0,,,,,15032.0,26.0,15033.0,70.0,,,15030.5,-198.25
548,-1.0,13700.0,PINA_COLADAS,15031.0,87.0,,,,,15034.0,87.0,,,,,15032.5,-218.75
553,-1.0,13800.0,PINA_COLADAS,15031.0,20.0,15030.0,95.0,,,15033.0,95.0,,,,,15032.0,-203.109375
559,-1.0,13900.0,PINA_COLADAS,15026.0,87.0,,,,,15029.0,87.0,,,,,15027.5,-147.78125
560,-1.0,14000.0,PINA_COLADAS,15027.0,21.0,15026.0,69.0,,,15029.0,21.0,15030.0,69.0,,,15028.0,-158.75
564,-1.0,14100.0,PINA_COLADAS,15024.0,90.0,,,,,15027.0,90.0,,,,,15025.5,-123.65625
570,-1.0,14200.0,PINA_COLADAS,15023.0,30.0,15022.0,55.0,,,15025.0,30.0,15026.0,55.0,,,15024.0,-103.03125
574,-1.0,14300.0,PINA_COLADAS,15022.0,24.0,15021.0,61.0,,,15025.0,85.0,,,,,15023.5,-90.75
576,-1.0,14400.0,PINA_COLADAS,15022.0,32.0,15021.0,61.0,,,15025.0,93.0,,,,,15023.5,-90.1875
580,-1.0,14500.0,PINA_COLADAS,15025.0,23.0,15024.0,67.0,,,15027.0,23.0,15028.0,67.0,,,15026.0,-130.6875
587,-1.0,14600.0,PINA_COLADAS,15025.0,90.0,,,,,15028.0,90.0,,,,,15026.5,-136.40625
590,-1.0,14700.0,PINA_COLADAS,15025.0,12.0,15024.0,72.0,,,15027.0,20.0,15028.0,72.0,,,15026.0,-139.46875
592,-1.0,14800.0,PINA_COLADAS,15025.0,29.0,15024.0,53.0,,,15026.0,23.0,15027.0,29.0,15028.0,53.0,15025.5,-139.25
596,-1.0,14900.0,PINA_COLADAS,15026.0,37.0,15025.0,74.0,,,15029.0,111.0,,,,,15027.5,-162.65625
602,-1.0,15000.0,PINA_COLADAS,15025.0,104.0,,,,,15028.0,104.0,,,,,15026.5,-152.15625
606,-1.0,15100.0,PINA_COLADAS,15026.0,32.0,15025.0,72.0,,,15028.0,32.0,15029.0,72.0,,,15027.0,-158.9375
608,-1.0,15200.0,PINA_COLADAS,15025.0,91.0,,,,,15028.0,91.0,,,,,15026.5,-148.0
612,-1.0,15300.0,PINA_COLADAS,15028.0,95.0,,,,,15031.0,95.0,,,,,15029.5,-214.6875
618,-1.0,15400.0,PINA_COLADAS,15028.0,33.0,15027.0,74.0,,,15031.0,107.0,,,,,15029.5,-208.21875
622,-1.0,15500.0,PINA_COLADAS,15031.0,85.0,,,,,15034.0,85.0,,,,,15032.5,-277.53125
624,-1.0,15600.0,PINA_COLADAS,15034.0,91.0,,,,,15037.0,91.0,,,,,15035.5,-343.1875
628,-1.0,15700.0,PINA_COLADAS,15031.0,20.0,15030.0,52.0,,,15033.0,20.0,15034.0,52.0,,,15032.0,-270.28125
633,-1.0,15800.0,PINA_COLADAS,15034.0,40.0,15033.0,69.0,,,15036.0,40.0,15037.0,69.0,,,15035.0,-337.78125
637,-1.0,15900.0,PINA_COLADAS,15035.0,82.0,,,,,15038.0,82.0,,,,,15036.5,-367.875
640,-1.0,16000.0,PINA_COLADAS,15035.0,93.0,,,,,15038.0,93.0,,,,,15036.5,-366.90625
644,-1.0,16100.0,PINA_COLADAS,15037.0,29.0,15036.0,52.0,,,15039.0,29.0,15040.0,52.0,,,15038.0,-402.0625
649,-1.0,16200.0,PINA_COLADAS,15032.0,23.0,15031.0,64.0,,,15034.0,23.0,15035.0,64.0,,,15033.0,-291.3125
653,-1.0,16300.0,PINA_COLADAS,15031.0,26.0,15030.0,57.0,,,15033.0,26.0,15034.0,57.0,,,15032.0,-269.21875
656,-1.0,16400.0,PINA_COLADAS,15032.0,24.0,15031.0,69.0,,,15034.0,24.0,15035.0,69.0,,,15033.0,-293.46875
660,-1.0,16500.0,PINA_COLADAS,15032.0,94.0,,,,,15035.0,38.0,15036.0,56.0,,,15033.5,-310.5625
665,-1.0,16600.0,PINA_COLADAS,15036.0,104.0,,,,,15039.0,104.0,,,,,15037.5,-397.21875
669,-1.0,16700.0,PINA_COLADAS,15036.0,10.0,15035.0,64.0,,,15038.0,40.0,15039.0,64.0,,,15037.0,-406.625
674,-1.0,16800.0,PINA_COLADAS,15033.0,24.0,15032.0,58.0,,,15036.0,82.0,,,,,15034.5,-264.4375
677,-1.0,16900.0,PINA_COLADAS,15035.0,79.0,,,,,15038.0,79.0,,,,,15036.5,-375.6875
683,-1.0,17000.0,PINA_COLADAS,15036.0,72.0,,,,,15039.0,72.0,,,,,15037.5,-428.6875
685,-1.0,17100.0,PINA_COLADAS,15034.0,101.0,,,,,15037.0,101.0,,,,,15035.5,-316.9375
689,-1.0,17200.0,PINA_COLADAS,15036.0,11.0,15034.0,87.0,,,15037.0,87.0,,,,,15036.5,-324.25
693,-1.0,17300.0,PINA_COLADAS,15032.0,91.0,,,,,15035.0,91.0,,,,,15033.5,-207.5625
699,-1.0,17400.0,PINA_COLADAS,15031.0,97.0,,,,,15034.0,97.0,,,,,15032.5,-142.5625
701,-1.0,17500.0,PINA_COLADAS,15030.0,25.0,15029.0,59.0,,,15033.0,84.0,,,,,15031.5,-52.875
705,-1.0,17600.0,PINA_COLADAS,15030.0,93.0,,,,,15033.0,93.0,,,,,15031.5,-75.625
709,-1.0,17700.0,PINA_COLADAS,15025.0,35.0,15024.0,61.0,,,15027.0,35.0,15028.0,61.0,,,15026.0,274.5
715,-1.0,17800.0,PINA_COLADAS,15025.0,77.0,,,,,15028.0,77.0,,,,,15026.5,246.75
718,-1.0,17900.0,PINA_COLADAS,15027.0,21.0,15026.0,56.0,,,15029.0,21.0,15030.0,56.0,,,15028.0,151.875
720,-1.0,18000.0,PINA_COLADAS,15023.0,38.0,15022.0,54.0,,,15026.0,92.0,,,,,15024.5,388.625
725,-1.0,18100.0,PINA_COLADAS,15026.0,89.0,,,,,15029.0,89.0,,,,,15027.5,169.5
730,-1.0,18200.0,PINA_COLADAS,15025.0,82.0,,,,,15028.0,82.0,,,,,15026.5,238.9375
733,-1.0,18300.0,PINA_COLADAS,15025.0,90.0,,,,,15028.0,90.0,,,,,15026.5,248.0625
736,-1.0,18400.0,PINA_COLADAS,15023.0,103.0,,,,,15026.0,103.0,,,,,15024.5,369.25
741,-1.0,18500.0,PINA_COLADAS,15021.0,89.0,,,,,15024.0,89.0,,,,,15022.5,493.9375
746,-1.0,18600.0,PINA_COLADAS,15021.0,84.0,,,,,15024.0,84.0,,,,,15022.5,491.5625
750,-1.0,18700.0,PINA_COLADAS,15023.0,36.0,15022.0,56.0,,,15025.0,36.0,15026.0,56.0,,,15024.0,392.75
752,-1.0,18800.0,PINA_COLADAS,15021.0,101.0,,,,,15024.0,101.0,,,,,15022.5,481.0
758,-1.0,18900.0,PINA_COLADAS,15023.0,82.0,,,,,15026.0,82.0,,,,,15024.5,358.0
762,-1.0,19000.0,PINA_COLADAS,15023.0,90.0,,,,,15026.0,90.0,,,,,15024.5,348.125
767,-1.0,19100.0,PINA_COLADAS,15024.0,92.0,,,,,15027.0,92.0,,,,,15025.5,318.1875
768,-1.0,19200.0,PINA_COLADAS,15022.0,100.0,,,,,15025.0,100.0,,,,,15023.5,412.6875
774,-1.0,19300.0,PINA_COLADAS,15020.0,97.0,,,,,15023.0,97.0,,,,,15021.5,564.0625
778,-1.0,19400.0,PINA_COLADAS,15019.0,21.0,15018.0,55.0,,,15021.0,21.0,15022.0,55.0,,,15020.0,647.4375
782,-1.0,19500.0,PINA_COLADAS,15020.0,25.0,15019.0,67.0,,,15023.0,92.0,,,,,15021.5,580.625
784,-1.0,19600.0,PINA_COLADAS,15018.0,79.0,,,,,15021.0,79.0,,,,,15019.5,678.1875
790,-1.0,19700.0,PINA_COLADAS,15017.0,102.0,,,,,15020.0,102.0,,,,,15018.5,761.0625
794,-1.0,19800.0,PINA_COLADAS,15020.0,95.0,,,,,15023.0,95.0,,,,,15021.5,539.125
798,-1.0,19900.0,PINA_COLADAS,15023.0,110.0,,,,,15026.0,110.0,,,,,15024.5,356.125
800,-1.0,20000.0,PINA_COLADAS,15023.0,85.0,,,,,15026.0,85.0,,,,,15024.5,361.0
807,-1.0,20100.0,PINA_COLADAS,15026.0,36.0,15025.0,75.0,,,15029.0,111.0,,,,,15027.5,198.875
810,-1.0,20200.0,PINA_COLADAS,15026.0,82.0,,,,,15029.0,82.0,,,,,15027.5,165.5
813,-1.0,20300.0,PINA_COLADAS,15026.0,87.0,,,,,15029.0,22.0,15030.0,65.0,,,15027.5,152.5
816,-1.0,20400.0,PINA_COLADAS,15027.0,90.0,,,,,15030.0,90.0,,,,,15028.5,131.6875
821,-1.0,20500.0,PINA_COLADAS,15025.0,81.0,,,,,15028.0,81.0,,,,,15026.5,239.5625
826,-1.0,20600.0,PINA_COLADAS,15027.0,39.0,15026.0,68.0,,,15029.0,39.0,15030.0,68.0,,,15028.0,140.875
829,-1.0,20700.0,PINA_COLADAS,15026.0,100.0,,,,,15029.0,100.0,,,,,15027.5,184.0625
832,-1.0,20800.0,PINA_COLADAS,15027.0,94.0,,,,,15030.0,100.0,,,,,15028.5,116.5
837,-1.0,20900.0,PINA_COLADAS,15027.0,85.0,,,,,15030.0,85.0,,,,,15028.5,123.125
842,-1.0,21000.0,PINA_COLADAS,15026.0,101.0,,,,,15027.0,20.0,15029.0,101.0,,,15026.5,159.0625
845,-1.0,21100.0,PINA_COLADAS,15028.0,101.0,,,,,15031.0,101.0,,,,,15029.5,47.5
849,-1.0,21200.0,PINA_COLADAS,15029.0,88.0,,,,,15032.0,88.0,,,,,15030.5,-19.1875
855,-1.0,21300.0,PINA_COLADAS,15023.0,80.0,,,,,15024.0,21.0,15026.0,26.0,15027.0,54.0,15023.5,346.75
859,-1.0,21400.0,PINA_COLADAS,15026.0,78.0,,,,,15029.0,78.0,,,,,15027.5,140.375
863,-1.0,21500.0,PINA_COLADAS,15024.0,111.0,,,,,15027.0,111.0,,,,,15025.5,279.25
865,-1.0,21600.0,PINA_COLADAS,15026.0,81.0,,,,,15029.0,81.0,,,,,15027.5,131.625
